,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,url
85,Strange Science Fiction and Fantasy Omnibus,Benson Grayson,9,22,2.86,,2014.0,0,Science Fiction,,https://www.goodreads.com/book/show/23268276-strange-science-fiction-and-fantasy-omnibus
86,Krispos the Emperor,Harry Turtledove,9,414,3.76,387.0,1994.0,1,"Fantasy,Science Fiction,Fiction",,https://www.goodreads.com/book/show/101552.Krispos_the_Emperor
87,The Falcon's Eye,S. Nathan,4,14,4.14,540.0,2014.0,0,,,https://www.goodreads.com/book/show/23277659-the-falcon-s-eye
88,Final Reverie,Essel Pratt,4,17,4.29,129.0,2014.0,0,,,https://www.goodreads.com/book/show/22694603-final-reverie
89,Shield of the Palidine,Barbara T. Cerny,4,6,4.83,364.0,2012.0,0,,Readers' Favorite Book Award (2015),https://www.goodreads.com/book/show/16292346-shield-of-the-palidine
90,Age of the Seer,Michael Joseph Murano,13,146,3.9,474.0,2014.0,1,"Fantasy,Young Adult > Young Adult Fantasy,Young Adult",,https://www.goodreads.com/book/show/23271747-age-of-the-seer
91,The White Horseman,J.S. Graydon,9,30,4.57,308.0,2014.0,0,Fantasy,,https://www.goodreads.com/book/show/23324262-the-white-horseman
92,Philistine (A Tale of Goliath),Steven Shrewsbury,6,11,4.27,445.0,2014.0,0,,,https://www.goodreads.com/book/show/21176260-philistine
93,Buan: The Perfect Mortals,Reece Bridger,22,54,4.07,452.0,2014.0,0,Fantasy,,https://www.goodreads.com/book/show/23236382-buan
94,The Parallel Place,Cheryl Skory Suma,23,36,4.42,322.0,2014.0,1,Fantasy,,https://www.goodreads.com/book/show/23508588-the-parallel-place
95,Crave (The Grigory Celestial Chronicles #1),A.J. James,10,15,4.6,467.0,2013.0,0,,,https://www.goodreads.com/book/show/18810126-crave
96,Odes,Michael Arthur Bucko,7,20,4.65,164.0,2014.0,0,,,https://www.goodreads.com/book/show/23400620-odes
97,The Watcher's Keep,Timothy Bond,18,51,4.0,777.0,2014.0,1,Fantasy,,https://www.goodreads.com/book/show/23661075-the-watcher-s-keep
98,Poems of Varsian Lore: Chronicles of the Varsian Kingdom,Jason Hein,3,8,4.38,34.0,2014.0,0,,,https://www.goodreads.com/book/show/23629677-poems-of-varsian-lore
99,El espíritu del mago,Javier Negrete,27,478,4.2,712.0,2005.0,1,"Fantasy,Fiction",,https://www.goodreads.com/book/show/3012206-el-esp-ritu-del-mago
