,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
87,The Destroyer 3,Michael-Scott Earle,36,1185,4.26,389,2016,,1,"Fantasy,Fantasy > Magic,Audiobook",,,https://www.goodreads.com/book/show/29503766-the-destroyer-3
88,Dark Lands: The Not-Where,Lyn I. Kelly,12,578,4.33,210,2016,,1,"Drama,Fiction,New Adult",,,https://www.goodreads.com/book/show/30374784-dark-lands
89,The Destroyer 4,Michael-Scott Earle,49,1095,4.24,733,2016,,1,"Fantasy,Fantasy > Magic,Audiobook",,,https://www.goodreads.com/book/show/29930568-the-destroyer-4
90,The Thirteenth Tale,Diane Setterfield,24054,295374,3.96,406,2006,,0,"Fiction,Mystery,Historical > Historical Fiction","Dilys Award Nominee (2007), ALA Alex Award (2007), The Quill Award for Debut Author (2007)",Angelfield,https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale
91,The Thousandfold Thought,R. Scott Bakker,364,10640,3.93,560,2007,2006,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",Locus Award Nominee for Best Fantasy Novel (2007),,https://www.goodreads.com/book/show/13806.The_Thousandfold_Thought
92,Doctors in Hell,Janet E. Morris,9,67,4.73,338,2015,,1,"Fantasy,Historical > Historical Fiction,Short Stories",,,https://www.goodreads.com/book/show/25729807-doctors-in-hell
93,The Rivers of Zadaa,D.J. MacHale,365,23609,4.2,405,2006,2005,1,"Fantasy,Young Adult,Fiction",,,https://www.goodreads.com/book/show/215542.The_Rivers_of_Zadaa
94,A Dance with Dragons,George R.R. Martin,22796,592872,4.31,1125,2011,,1,"Fantasy,Fiction,Fantasy > Epic Fantasy","Hugo Award Nominee for Best Novel (2012), Locus Award for Best Fantasy Novel (2012), World Fantasy Award Nominee for Best Novel (2012), SFX Award for Best Novel (2012), British Fantasy Award Nominee for Best Novel (2012) ...more",,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
95,Shadow Moon,George Lucas,182,2104,3.31,452,1996,1995,1,"Fantasy,Fiction,Fantasy > High Fantasy",,,https://www.goodreads.com/book/show/160859.Shadow_Moon
96,Song of the Beast,Carol Berg,165,2323,4.04,467,2003,2003,0,"Fantasy,Fantasy > Dragons,Fiction",Colorado Book Award for Genre Fiction (2003),,https://www.goodreads.com/book/show/437788.Song_of_the_Beast
97,A Knight of the Word,Terry Brooks,347,14664,4.06,386,1999,1998,1,"Fantasy,Fantasy > Urban Fantasy,Fiction",,,https://www.goodreads.com/book/show/420496.A_Knight_of_the_Word
98,The Voyage of the Dawn Treader,C.S. Lewis,7916,425588,4.08,248,2006,1952,1,"Fantasy,Fiction,Classics",,"Narnia,The Lone Islands,Dragon Island,,,,",https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader
99,The Crimson Crown,Cinda Williams Chima,2946,39940,4.47,598,2012,,1,"Fantasy,Young Adult,Romance",,,https://www.goodreads.com/book/show/8069828-the-crimson-crown
